ticket_id,milestone,title,status,dependencies,files,definition_of_done
M1-001,M1,Repository Bootstrap,ACCEPTED,,README.md;CHANGELOG.md;VERSION;ARCHITECTURE-LOCK.yaml;BUILD-MANIFEST.yaml,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-002,M1,Contract Manifest & Architecture Lock,ACCEPTED,M1-001,CONTRACT-MANIFEST.yaml;src/kernel/contracts/manifest_loader.py;src/kernel/contracts/hash_verifier.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-003,M1,Registry Loader & Cross-Reference Validator,ACCEPTED,M1-002,src/kernel/registry/loader.py;src/kernel/registry/cross_reference_validator.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-004,M1,Canonical Serialization & Hash Library,ACCEPTED,M1-003,src/shared/canonical_json.py;src/shared/hash.py;src/shared/normalization.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-005,M1,PostgreSQL Foundation,ACCEPTED,M1-004,database/migrations/0001_extensions.sql;database/migrations/0002_reference_tables.sql,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-006,M1,Reference Tables & Seed Registry,ACCEPTED,M1-005,database/seeds/reference_states.sql,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-007,M1,Audit & Event Persistence,ACCEPTED,M1-006,database/migrations/0070_audit_tables.sql,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-008,M1,Processed Command Ledger,ACCEPTED,M1-007,database/migrations/0073_processed_commands.sql,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-009,M1,Transactional Outbox,ACCEPTED,M1-008,database/migrations/0072_outbox.sql;workers/outbox_dispatcher/worker.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-010,M1,Event Runtime,ACCEPTED,M1-009,src/kernel/events/event_writer.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
